time_s	chan_0	chan_1	chan_2
6102	501.671983406051	469.502324583363	32.1696588226879
6102.5	501.743509047994	469.57327802017	32.1702310278235
6103	501.44624848008	469.275445247121	32.170803232959
6103.5	501.474000429154	469.312638580931	32.1613618482226
6104	501.649667405765	469.472569916315	32.17709748945
6104.5	501.497746942279	469.324654888778	32.1730920535012
6105	501.539804019741	469.364423145698	32.1753808740433
6105.5	501.784135612617	469.603890994922	32.1802446176954
6106	501.498319147414	469.318360632287	32.1799585151277
6106.5	501.587869251127	469.409627351406	32.1782418997211
6107	501.677705457406	469.49374150633	32.1839639510765
6107.5	501.714612688649	469.53093484014	32.1836778485087
6108	501.540090122309	469.372434017595	32.1676561047135
6108.5	501.794149202489	469.609613046277	32.184536156212
6109	501.423074172091	469.252557041699	32.1705171303912
6109.5	501.740648022316	469.555539660968	32.1851083613475
6110	501.463986839282	469.291466990916	32.1725198483656
6110.5	501.682283098491	469.507188327015	32.1750947714756
6111	501.568986481654	469.386739145984	32.1822473356698
6111.5	501.590730276804	469.403333094915	32.1873971818897
6112	501.702596380803	469.519490737429	32.1831056433731
6112.5	501.795007510192	469.60789643087	32.1871110793219
6113	501.546956583935	469.36156212002	32.1853944639153
6113.5	501.606752020599	469.429940633717	32.1768113868822
6114	501.655675559688	469.472283813747	32.1833917459409
6114.5	501.638509405622	469.463128531579	32.1753808740433
6115	501.529218224734	469.346970889064	32.1822473356698
6115.5	501.720048637437	469.532365352979	32.1876832844575
6116	501.840783921036	469.65796438023	32.1828195408054
6116.5	501.495744224304	469.317502324583	32.1782418997211
6117	501.780702381804	469.595307917889	32.1853944639153
6117.5	501.572705815035	469.390458479365	32.1822473356698
6118	501.758386381518	469.576425148416	32.1819612331021
6118.5	501.717473714327	469.529504327301	32.1879693870252
6119	501.560117302053	469.388741863958	32.1713754380946
6119.5	501.778985766397	469.587010943423	32.191974822974
6120	501.654817251985	469.474572634289	32.1802446176954
6120.5	501.791288176811	469.600171661541	32.1911165152707
6121	501.627637508047	469.442815249267	32.1848222587798
6121.5	501.561547814892	469.380730992061	32.180816822831
6122	501.751806022459	469.572991917602	32.1788141048566
6122.5	501.5810027895	469.402474787211	32.1785280022888
6123	501.639653815893	469.46427294185	32.1753808740433
6123.5	501.643373149274	469.462842429011	32.1805307202632
6124	501.499749660253	469.322938273371	32.1768113868822
6124.5	501.823331664402	469.641942636435	32.1813890279665
6125	501.56297832773	469.384164222874	32.1788141048566
6125.5	501.714040483513	469.527501609327	32.1865388741864
6126	501.647092482655	469.46169801874	32.1853944639153
6126.5	501.568414276518	469.393891710178	32.17452256634
6127	501.666833559831	469.475430941993	32.1914026178385
6127.5	501.589013661398	469.41163006938	32.1773835920177
6128	501.811315356555	469.620198841285	32.1911165152707
6128.5	501.655675559688	469.475144839425	32.1805307202632
6129	501.590444174236	469.404191402618	32.1862527716186
6129.5	501.744939560833	469.569272584221	32.1756669766111
6130	501.695443816608	469.514340891209	32.1811029253988
6130.5	501.831056433731	469.649667405765	32.1813890279665
6131	501.619054431014	469.428510120878	32.1905443101352
6131.5	501.751233817324	469.571275302196	32.1799585151277
6132	501.865388741864	469.671983406051	32.1934053358129
6132.5	501.72605679136	469.537801301767	32.188255489593
6133	501.725770688792	469.53350976325	32.1922609255418
6133.5	501.647092482655	469.460267505901	32.1868249767542
6134	501.559831199485	469.375581145841	32.1842500536442
6134.5	501.568986481654	469.3910306845	32.1779557971533
6135	501.702024175667	469.5117659681	32.1902582075674
6135.5	501.788999356269	469.603604892354	32.1853944639153
6136	501.600743866676	469.418210428439	32.1825334382376
6136.5	501.703454688506	469.521207352836	32.1822473356698
6137	501.7709748945	469.577855661255	32.1931192332451
6137.5	501.522351763107	469.341248837708	32.1811029253988
6138	501.605893712896	469.41935483871	32.1865388741864
6138.5	501.7106072527	469.527501609327	32.1831056433731
6139	501.669408482941	469.48859166011	32.180816822831
6139.5	501.627065302911	469.447392890351	32.1796724125599
6140	501.634790072241	469.457978685359	32.1768113868822
6140.5	501.746083971104	469.559831199485	32.1862527716186
6141	501.693727201202	469.512052070667	32.1816751305343
6141.5	501.642514841571	469.45654817252	32.1859666690509
6142	501.760102996924	469.579858379229	32.1802446176954
6142.5	501.687719047278	469.505185609041	32.1825334382376
6143	501.785852228024	469.603890994922	32.1819612331021
6143.5	501.534081968386	469.364709248266	32.1693727201202
6144	501.687719047278	469.5117659681	32.1759530791789
6144.5	501.657106072527	469.482297403619	32.1748086689078
6145	501.646806380087	469.466561762392	32.1802446176954
6145.5	501.507760532151	469.335240683785	32.1725198483656
6146	501.551248122452	469.377869966383	32.1733781560689
6146.5	501.519204634862	469.355840068665	32.163364566197
6147	501.600171661541	469.423074172091	32.17709748945
6147.5	501.589585866533	469.417924325871	32.1716615406623
6148	501.574994635577	469.398183248695	32.1768113868822
6148.5	501.520349045133	469.350690222445	32.1696588226879
6149	501.552678635291	469.381589299764	32.1710893355268
6149.5	501.591016379372	469.417352120735	32.1736642586367
6150	501.565839353408	469.397611043559	32.1682283098491
6150.5	501.684858021601	469.5117659681	32.1730920535012
6151	501.474572634289	469.30891924755	32.1656533867391
6151.5	502.030469923468	469.851655818611	32.1788141048566
6152	501.700879765396	469.521779557972	32.1791002074244
6152.5	501.647950790358	469.474858736857	32.1730920535012
6153	501.850797510908	469.66568914956	32.1851083613475
6153.5	501.685144124169	469.509763250125	32.1753808740433
6154	501.667119662399	469.484300121594	32.1828195408054
6154.5	501.658536585366	469.485158429297	32.1733781560689
6155	501.760389099492	469.572133609899	32.188255489593
6155.5	501.684285816465	469.498033044847	32.1862527716186
6156	501.911165152707	469.717759816894	32.1934053358129
6156.5	501.751233817324	469.554681353265	32.1965524640584
6157	501.548100994206	469.364995350833	32.1831056433731
6157.5	501.608182533438	469.412202274515	32.1959802589228
6158	501.633931764538	469.444531864673	32.1893998998641
6158.5	501.806165510335	469.612474071955	32.1936914383807
6159	501.637364995351	469.445104069809	32.1922609255418
6159.5	501.765252843144	469.577855661255	32.1873971818897
6160	501.715184893784	469.522065660539	32.1931192332451
6160.5	501.609613046277	469.433087761963	32.1765252843144
6161	501.76839997139	469.576997353551	32.1914026178385
6161.5	501.639081610757	469.446820685216	32.1922609255418
6162	501.84278663901	469.646520277519	32.1962663614906
6162.5	501.605893712896	469.413060582219	32.1928331306774
6163	501.54123453258	469.355267863529	32.1859666690509
6163.5	501.535512481225	469.344968171089	32.1905443101352
6164	501.562120020027	469.370145197053	32.191974822974
6164.5	501.700021457693	469.510335455261	32.1896860024319
6165	501.708318432158	469.516629711752	32.1916887204063
6165.5	501.76067520206	469.567555968815	32.1931192332451
6166	501.69515771404	469.499463557685	32.1956941563551
6166.5	501.544381660825	469.35383735069	32.1905443101352
6167	501.521493455404	469.340676632573	32.180816822831
6167.5	501.514054788642	469.323224375939	32.190830412703
6168	501.689149560117	469.493455403762	32.1956941563551
6168.5	501.714040483513	469.525212788785	32.1888276947286
6169	501.732351047851	469.538945712038	32.1934053358129
6169.5	501.569558686789	469.387883556255	32.1816751305343
6170	501.663400329018	469.475430941993	32.1879693870252
6170.5	501.864530434161	469.663972534154	32.2005579000072
6171	501.595594020456	469.408769043702	32.1868249767542
6171.5	501.836778485087	469.639939918461	32.1968385666261
6172	501.716329304055	469.53093484014	32.1853944639153
6172.5	501.818181818182	469.630498533724	32.1876832844575
6173	501.611615764251	469.422215864387	32.1893998998641
6173.5	501.696874329447	469.513196480938	32.1836778485087
6174	501.607610328303	469.424790787497	32.1828195408054
6174.5	501.683427508762	469.491452685788	32.191974822974
6175	501.768113868822	469.578713968958	32.1893998998641
6175.5	501.709176739861	469.519204634862	32.1899721049996
6176	501.708890637293	469.518918532294	32.1899721049996
6176.5	501.706315714184	469.5206351477	32.1856805664831
6177	501.836206279951	469.636506687648	32.1996995923038
6177.5	501.78499392032	469.597024533295	32.1879693870252
6178	501.800729561548	469.613618482226	32.1871110793219
6178.5	501.840497818468	469.648522995494	32.191974822974
6179	501.625062584937	469.438237608183	32.1868249767542
6179.5	501.697446534583	469.515485301481	32.1819612331021
6180	501.559258994349	469.36928688935	32.1899721049996
6180.5	501.686574637007	469.505757814176	32.180816822831
6181	501.788427151134	469.605607610328	32.1828195408054
6181.5	501.734925970961	469.54123453258	32.1936914383807
6182	501.769544381661	469.578713968958	32.190830412703
6182.5	501.617051713039	469.43594878764	32.1811029253988
6183	501.698018739718	469.514626993777	32.1833917459409
6183.5	501.705743509048	469.520062942565	32.1856805664831
6184	501.696588226879	469.507188327015	32.1893998998641
6184.5	501.608754738574	469.419927043845	32.1888276947286
6185	501.62849581575	469.449109505758	32.1793863099921
6185.5	501.596166225592	469.409913453973	32.1862527716186
6186	501.487733352407	469.306058221873	32.1816751305343
6186.5	501.666547457263	469.481439095916	32.1851083613475
6187	501.687146842143	469.498319147414	32.1888276947286
6187.5	501.892282383234	469.696016021744	32.1962663614906
6188	501.821901151563	469.634503969673	32.1873971818897
6188.5	501.780702381804	469.588441456262	32.1922609255418
6189	501.614476789929	469.437379300479	32.17709748945
6189.5	501.762391817467	469.585866533152	32.1765252843144
6190	501.70288248337	469.516343609184	32.1865388741864
6190.5	501.716329304055	469.533223660682	32.1831056433731
6191	501.811887561691	469.624204277233	32.1876832844575
6191.5	501.695729919176	469.501752378228	32.1939775409484
6192	501.671983406051	469.490880480652	32.1811029253988
6192.5	501.725484586224	469.53865960947	32.1868249767542
6193	501.554395250697	469.364995350833	32.1893998998641
6193.5	501.518632429726	469.343823760818	32.1748086689078
6194	501.765252843144	469.578713968958	32.1865388741864
6194.5	501.625348687504	469.439095915886	32.1862527716186
6195	501.621343251556	469.437093197911	32.1842500536442
6195.5	501.576711250983	469.399327658966	32.1773835920177
6196	501.691152278092	469.503468993634	32.1876832844575
6196.5	501.52321007081	469.342107145412	32.1811029253988
6197	501.518346327158	469.340104427437	32.1782418997211
6197.5	501.82991202346	469.63622058508	32.1936914383807
6198	501.538373506902	469.3564122738	32.1819612331021
6198.5	501.619912738717	469.432801659395	32.1871110793219
6199	501.743795150561	469.547528789071	32.1962663614906
6199.5	501.601029969244	469.41163006938	32.1893998998641
6200	501.618482225878	469.435090479937	32.1833917459409
6200.5	501.723195765682	469.529790429869	32.1934053358129
6201	501.591874687075	469.39875545383	32.1931192332451
6201.5	501.70545740648	469.520062942565	32.1853944639153
6202	501.883699306201	469.692296688363	32.1914026178385
6202.5	501.43594878764	469.250554323725	32.1853944639153
